,DatasetName,KNN,GNB,SVC,LR,DT,RF,GBC,max Acc,maxAlgNames
0,abalone.csv,0.8,0.36,0.37,0.38,0.15,0.28,0.82,0.82,GBC
1,Absenteeism_at_work.csv,0.77,0.47,0.62,0.64,0.21,0.48,0.84,0.84,GBC
2,Acoustic Features.csv,0.66,0.74,0.77,0.67,0.65,0.78,0.74,0.78,RF
3,acute-inflammation.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,KNN
4,Acute-urinary.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,KNN
5,Algerian_forest_fires_dataset_UPDATE.csv,0.96,0.86,0.87,0.94,0.46,0.84,0.98,0.98,GBC
6,Annealing.csv,0.95,0.9,0.88,0.99,0.78,0.94,1.0,1.0,GBC
7,auction.csv,0.95,0.63,0.75,0.66,0.75,0.76,0.94,0.95,KNN
8,audiology.csv,0.85,0.94,0.37,0.94,0.21,0.9,0.97,0.97,GBC
9,austrCredit .csv,0.71,0.86,0.74,0.85,0.82,0.86,0.86,0.86,GNB
10,austrlian statelog.csv,0.71,0.86,0.74,0.85,0.82,0.86,0.86,0.86,GNB
11,austrlian2.csv,0.71,0.86,0.74,0.85,0.82,0.86,0.86,0.86,GNB
12,Autism-Adult-Data.csv,0.89,0.95,0.94,1.0,1.0,1.0,1.0,1.0,LR
13,balance-scaledata.csv,0.63,0.57,0.62,0.59,0.58,0.6,0.64,0.64,GBC
14,ballons.csv,0.95,1.0,1.0,1.0,0.75,1.0,1.0,1.0,GNB
15,BankNote_Authentication.csv,0.94,0.64,0.88,0.81,0.85,0.85,0.93,0.94,KNN
16,bankruptcy.csv,0.96,0.84,0.94,0.9,0.87,0.88,0.95,0.96,KNN
17,braest-cancer wincosin.csv,0.97,0.94,0.98,0.93,0.92,0.95,0.96,0.98,SVC
18,breast_cancer.csv,0.97,0.94,0.98,0.93,0.92,0.95,0.96,0.98,SVC
19,bridges1.csv,0.73,0.7,0.58,0.75,0.46,0.77,0.91,0.91,GBC
20,bridges2.csv,0.73,0.67,0.32,0.75,0.55,0.71,0.93,0.93,GBC
21,car_evaluation.csv,0.56,0.54,0.82,0.54,0.67,0.74,0.82,0.82,SVC
22,chess.csv,0.79,0.64,0.9,0.91,0.82,0.8,0.92,0.92,GBC
23,cirrhosis.csv,0.59,0.49,0.51,0.54,0.51,0.54,0.71,0.71,GBC
24,cmc.csv,0.46,0.47,0.51,0.51,0.48,0.49,0.51,0.51,SVC
25,connect4.csv,0.6,0.27,0.51,0.27,0.28,0.28,0.41,0.6,KNN
26,csv_result-caesarian.csv,0.69,0.66,0.61,0.6,0.59,0.64,0.61,0.69,KNN
27,csv_result-climate.csv,0.9,0.83,0.96,0.84,0.87,0.9,0.97,0.97,GBC
28,csv_result-column_2C_weka.csv,0.79,0.79,0.79,0.76,0.76,0.83,0.83,0.83,RF
29,csv_result-column_3C_weka.csv,0.84,0.79,0.84,0.82,0.78,0.86,0.95,0.95,GBC
30,csv_result-MagicTelescope.csv,0.82,0.77,0.85,0.79,0.8,0.81,0.86,0.86,GBC
31,csv_result-phpV5QYya.csv,0.93,0.62,0.93,0.91,0.9,0.92,0.93,0.93,KNN
32,csv_result-ThoraricSurgery.csv,0.76,0.51,0.54,0.65,0.62,0.7,0.86,0.86,GBC
33,Customer Churn.csv,0.85,0.82,0.76,0.86,0.88,0.88,0.92,0.92,GBC
34,cylinder_bands.csv,0.74,0.73,0.69,0.7,0.71,0.75,0.77,0.77,GBC
35,dataR2.csv,0.57,0.62,0.59,0.65,0.61,0.57,0.63,0.65,LR
36,dermatology.csv,0.89,0.9,0.82,0.99,0.66,0.96,0.99,0.99,LR
37,diabetes.csv,0.69,0.75,0.76,0.76,0.73,0.76,0.78,0.78,GBC
38,diabetes_data_upload.csv,0.94,0.88,0.96,0.92,0.88,0.9,0.96,0.96,SVC
39,dressDataSet.csv,0.51,0.55,0.55,0.58,0.54,0.59,0.59,0.59,RF
40,Dry_Bean_Dataset.csv,0.9,0.87,0.9,0.9,0.56,0.82,0.88,0.9,KNN
41,ecoli.csv,0.92,0.84,0.85,0.82,0.68,0.91,0.98,0.98,GBC
42,EEG_Eye_State_Classification.csv,0.5,0.5,0.42,0.4,0.46,0.55,0.49,0.55,RF
43,electrical.csv,0.92,0.98,0.98,1.0,1.0,1.0,1.0,1.0,LR
44,electricity.csv,0.66,0.73,0.73,0.72,0.72,0.74,0.72,0.74,RF
45,faults.csv,0.44,0.56,0.52,0.38,0.39,0.45,0.58,0.58,GBC
46,fertility.csv,0.81,0.66,0.7,0.69,0.84,0.86,0.94,0.94,GBC
47,flags.csv,0.55,0.53,0.36,0.76,0.62,0.78,0.89,0.89,GBC
48,forestType.csv,0.95,0.95,0.95,0.91,0.92,0.96,0.92,0.96,RF
49,German Credit Data.csv,0.62,0.66,0.55,0.69,0.64,0.7,0.79,0.79,GBC
50,glass.csv,0.79,0.67,0.74,0.66,0.75,0.77,0.86,0.86,GBC
51,haberman.csv,0.69,0.64,0.67,0.66,0.66,0.7,0.72,0.72,GBC
52,hapetitis.csv,0.75,0.72,0.77,0.79,0.72,0.84,0.87,0.87,GBC
53,hayes-roth.csv,0.56,0.6,0.74,0.53,0.58,0.61,0.83,0.83,GBC
54,hcvdat0.csv,0.99,0.8,0.96,0.8,0.68,0.88,1.0,1.0,GBC
55,heart.csv,0.77,0.84,0.74,0.84,0.83,0.87,0.96,0.96,GBC
56,heart_failure_clinical_records_dataset.csv,0.69,0.71,0.68,0.75,0.6,0.73,0.66,0.75,LR
57,horse-ecolic surgical.csv,0.66,0.5,0.66,0.72,0.82,0.84,0.8,0.84,RF
58,house_voting.csv,0.91,0.92,0.96,0.94,0.96,0.95,0.96,0.96,SVC
59,imageSegmentation.csv,0.85,0.73,0.91,0.89,0.6,0.85,0.89,0.91,SVC
60,Indian Liver Patient Dataset (ILPD).csv,0.71,0.69,0.69,0.68,0.68,0.69,0.77,0.77,GBC
61,indian liver.csv,0.71,0.69,0.69,0.68,0.68,0.71,0.77,0.77,GBC
62,indian_liver_patient.csv,0.71,0.69,0.69,0.68,0.68,0.69,0.77,0.77,GBC
63,ionospere.csv,0.83,0.85,0.96,0.88,0.92,0.95,0.97,0.97,GBC
64,Iris.csv,0.97,0.96,0.97,0.96,0.95,0.96,0.97,0.97,KNN
65,iymphography.csv,0.91,0.86,0.93,0.94,0.82,0.91,0.93,0.94,LR
66,lenses.csv,0.91,0.93,0.91,0.93,0.91,0.91,0.91,0.93,GNB
67,librasMove.csv,0.6,0.49,0.68,0.57,0.24,0.48,0.5,0.68,SVC
68,lunCancer.csv,0.52,0.73,0.71,0.67,0.66,0.65,0.73,0.73,GNB
69,mammographic.csv,0.75,0.77,0.76,0.78,0.78,0.79,0.79,0.79,RF
70,meta-data.csv,0.06,0.07,0.07,0.07,0.06,0.05,0.06,0.07,GNB
71,miceproteinNuclear.csv,0.39,1.0,0.54,0.59,0.99,0.88,0.84,1.0,GNB
72,molecular.csv,0.7,0.92,0.91,0.85,0.88,0.91,0.97,0.97,GBC
73,monksTest1.csv,0.5,0.49,0.4,0.58,0.53,0.53,0.46,0.58,LR
74,monksTest2.csv,0.4,0.35,0.22,0.39,0.25,0.31,0.47,0.47,GBC
75,monksTrain1.csv,0.54,0.6,0.59,0.57,0.65,0.62,0.48,0.65,DT
76,Movie_classification.csv,0.61,0.56,0.6,0.59,0.56,0.57,0.56,0.61,KNN
77,mushroom.csv,0.85,0.76,0.8,0.81,0.82,0.84,0.88,0.88,GBC
78,non-verbal tourist data.csv,0.78,0.92,0.59,0.9,0.85,0.95,0.95,0.95,RF
79,NPHA-doctor-visits.csv,0.53,0.39,0.46,0.41,0.39,0.45,0.56,0.56,GBC
80,ObesityDataSet_raw_and_data_sinthetic.csv,0.83,0.6,0.87,0.86,0.64,0.71,0.93,0.93,GBC
81,ozonedet.csv,0.89,0.73,0.84,0.82,0.82,0.84,0.95,0.95,GBC
82,pageBlock.csv,0.98,0.82,0.95,0.92,0.8,0.91,0.99,0.99,GBC
83,parkinsons.csv,0.88,0.77,0.88,0.89,0.89,0.89,0.96,0.96,GBC
84,penReco.csv,0.99,0.87,0.99,0.95,0.58,0.82,0.99,0.99,KNN
85,phone.csv,0.77,0.78,0.8,0.66,0.76,0.76,0.79,0.8,SVC
86,planningRelax.csv,0.56,0.5,0.61,0.5,0.59,0.69,0.79,0.79,GBC
87,pop_failure.csv,0.84,0.79,0.92,0.87,0.91,0.85,0.95,0.95,GBC
88,postOpertaivePatient.csv,0.83,0.67,0.79,0.74,0.7,0.75,0.87,0.87,GBC
89,Qualitative_Bankruptcy.csv,0.94,0.95,0.99,0.58,0.98,0.99,1.0,1.0,GBC
90,Raisin_Dataset.csv,0.86,0.86,0.87,0.87,0.86,0.86,0.86,0.87,SVC
91,risk_factors_cervical_cancer.csv,0.9,0.9,0.76,0.94,0.93,0.91,0.98,0.98,GBC
92,seeds.csv,0.91,0.86,0.89,0.9,0.87,0.87,0.9,0.91,KNN
93,shuttle.csv,1.0,0.9,1.0,0.99,0.57,0.91,1.0,1.0,KNN
94,sobar-72.csv,0.84,0.85,0.89,0.91,0.86,0.84,0.86,0.91,LR
95,somervilehappy.csv,0.48,0.53,0.5,0.51,0.48,0.48,0.48,0.53,GNB
96,soyabean-large.csv,0.93,0.93,0.94,0.96,0.24,0.92,0.97,0.97,GBC
97,Spam.csv,0.87,0.82,0.91,0.92,0.87,0.9,0.93,0.93,GBC
98,spec-heart.csv,0.7,0.77,0.76,0.71,0.6,0.74,0.73,0.77,GNB
99,sponge.csv,0.91,0.95,0.95,0.93,0.94,1.0,0.99,1.0,RF
100,statlog-austr.csv,0.71,0.86,0.74,0.85,0.82,0.86,0.86,0.86,GNB
101,statlog-german.csv,0.62,0.66,0.55,0.69,0.64,0.7,0.79,0.79,GBC
102,statlog-heart.csv,0.69,0.85,0.72,0.83,0.74,0.83,0.8,0.85,GNB
103,statlog-heart2.csv,0.69,0.85,0.72,0.83,0.76,0.83,0.8,0.85,GNB
104,statloglandsat.csv,0.89,0.78,0.86,0.82,0.56,0.77,0.92,0.92,GBC
105,studenperf.csv,0.68,0.47,0.64,0.67,0.36,0.56,0.87,0.87,GBC
106,student-dropout.csv,0.63,0.62,0.57,0.71,0.66,0.68,0.77,0.77,GBC
107,teachingassper.csv,0.44,0.46,0.4,0.48,0.46,0.57,0.63,0.63,GBC
108,thyroid.csv,0.96,0.96,0.96,0.99,0.95,0.98,0.98,0.99,LR
109,Thyroid_Diff.csv,0.85,0.75,0.86,0.83,0.73,0.86,0.77,0.86,SVC
110,tic-toe.csv,0.65,0.63,0.68,0.6,0.59,0.66,0.67,0.68,SVC
111,transfusion.csv,0.66,0.57,0.63,0.66,0.59,0.63,0.66,0.66,KNN
112,turkiye-student-evaluation_R_Specific.csv,0.54,0.41,0.51,0.47,0.42,0.45,0.54,0.54,KNN
113,vehicles.csv,0.65,0.48,0.53,0.77,0.65,0.7,0.77,0.77,LR
114,waveform.csv,0.82,0.81,0.86,0.87,0.72,0.82,0.85,0.87,LR
115,waveformDG.csv,0.81,0.8,0.87,0.87,0.71,0.82,0.85,0.87,SVC
116,Wholesale customers data.csv,0.67,0.38,0.57,0.43,0.51,0.56,0.85,0.85,GBC
117,wine.csv,0.93,0.93,0.95,0.95,0.89,0.93,0.84,0.95,SVC
118,wirelessloca.csv,0.97,0.96,0.97,0.96,0.91,0.95,0.96,0.97,KNN
119,yeast.csv,0.83,0.43,0.59,0.59,0.44,0.61,0.87,0.87,GBC
120,zoo.csv,0.99,1.0,1.0,1.0,0.68,0.98,1.0,1.0,GNB
