,DatasetName,RF,GBC,max Acc,maxAlgNames
0,abalone.csv,0.29,0.82,0.82,GBC
1,Absenteeism_at_work.csv,0.48,0.84,0.84,GBC
2,Acoustic Features.csv,0.77,0.74,0.77,RF
3,acute-inflammation.csv,1.0,1.0,1.0,RF
4,Acute-urinary.csv,1.0,1.0,1.0,RF
5,Algerian_forest_fires_dataset_UPDATE.csv,0.83,0.98,0.98,GBC
6,Annealing.csv,0.94,1.0,1.0,GBC
7,auction.csv,0.77,0.94,0.94,GBC
8,audiology.csv,0.9,0.97,0.97,GBC
9,austrCredit .csv,0.86,0.86,0.86,RF
10,austrlian statelog.csv,0.86,0.86,0.86,RF
11,austrlian2.csv,0.86,0.86,0.86,RF
12,Autism-Adult-Data.csv,1.0,1.0,1.0,RF
13,balance-scaledata.csv,0.59,0.64,0.64,GBC
14,ballons.csv,1.0,1.0,1.0,RF
15,BankNote_Authentication.csv,0.84,0.93,0.93,GBC
16,bankruptcy.csv,0.88,0.95,0.95,GBC
17,braest-cancer wincosin.csv,0.95,0.96,0.96,GBC
18,breast_cancer.csv,0.95,0.96,0.96,GBC
19,bridges1.csv,0.78,0.92,0.92,GBC
20,bridges2.csv,0.71,0.93,0.93,GBC
21,car_evaluation.csv,0.74,0.82,0.82,GBC
22,chess.csv,0.81,0.92,0.92,GBC
23,cirrhosis.csv,0.54,0.71,0.71,GBC
24,cmc.csv,0.49,0.51,0.51,GBC
25,connect4.csv,0.28,0.41,0.41,GBC
26,csv_result-caesarian.csv,0.6,0.61,0.61,GBC
27,csv_result-climate.csv,0.9,0.97,0.97,GBC
28,csv_result-column_2C_weka.csv,0.82,0.83,0.83,GBC
29,csv_result-column_3C_weka.csv,0.84,0.95,0.95,GBC
30,csv_result-MagicTelescope.csv,0.81,0.86,0.86,GBC
31,csv_result-phpV5QYya.csv,0.92,0.93,0.93,GBC
32,csv_result-ThoraricSurgery.csv,0.69,0.85,0.85,GBC
33,Customer Churn.csv,0.88,0.92,0.92,GBC
34,cylinder_bands.csv,0.74,0.77,0.77,GBC
35,dataR2.csv,0.59,0.65,0.65,GBC
36,dermatology.csv,0.97,0.99,0.99,GBC
37,diabetes.csv,0.76,0.78,0.78,GBC
38,diabetes_data_upload.csv,0.9,0.96,0.96,GBC
39,dressDataSet.csv,0.59,0.58,0.59,RF
40,Dry_Bean_Dataset.csv,0.82,0.88,0.88,GBC
41,ecoli.csv,0.92,0.98,0.98,GBC
42,EEG_Eye_State_Classification.csv,0.55,0.49,0.55,RF
43,electrical.csv,1.0,1.0,1.0,RF
44,electricity.csv,0.74,0.72,0.74,RF
45,faults.csv,0.46,0.58,0.58,GBC
46,fertility.csv,0.88,0.94,0.94,GBC
47,flags.csv,0.8,0.88,0.88,GBC
48,forestType.csv,0.96,0.92,0.96,RF
49,German Credit Data.csv,0.7,0.79,0.79,GBC
50,glass.csv,0.78,0.86,0.86,GBC
51,haberman.csv,0.72,0.72,0.72,RF
52,hapetitis.csv,0.84,0.88,0.88,GBC
53,hayes-roth.csv,0.64,0.83,0.83,GBC
54,hcvdat0.csv,0.89,1.0,1.0,GBC
55,heart.csv,0.88,0.96,0.96,GBC
56,heart_failure_clinical_records_dataset.csv,0.73,0.66,0.73,RF
57,horse-ecolic surgical.csv,0.84,0.8,0.84,RF
58,house_voting.csv,0.95,0.96,0.96,GBC
59,imageSegmentation.csv,0.87,0.89,0.89,GBC
60,Indian Liver Patient Dataset (ILPD).csv,0.7,0.77,0.77,GBC
61,indian liver.csv,0.7,0.77,0.77,GBC
62,indian_liver_patient.csv,0.7,0.77,0.77,GBC
63,ionospere.csv,0.94,0.97,0.97,GBC
64,Iris.csv,0.95,0.97,0.97,GBC
65,iymphography.csv,0.91,0.93,0.93,GBC
66,lenses.csv,0.91,0.91,0.91,RF
67,librasMove.csv,0.5,0.51,0.51,GBC
68,lunCancer.csv,0.65,0.73,0.73,GBC
69,mammographic.csv,0.78,0.79,0.79,GBC
70,meta-data.csv,0.06,0.05,0.06,RF
71,miceproteinNuclear.csv,0.87,0.84,0.87,RF
72,molecular.csv,0.91,0.97,0.97,GBC
73,monksTest1.csv,0.53,0.46,0.53,RF
74,monksTest2.csv,0.33,0.47,0.47,GBC
75,monksTrain1.csv,0.62,0.48,0.62,RF
76,Movie_classification.csv,0.56,0.56,0.56,RF
77,mushroom.csv,0.83,0.88,0.88,GBC
78,non-verbal tourist data.csv,0.94,0.95,0.95,GBC
79,NPHA-doctor-visits.csv,0.44,0.57,0.57,GBC
80,ObesityDataSet_raw_and_data_sinthetic.csv,0.7,0.93,0.93,GBC
81,ozonedet.csv,0.84,0.95,0.95,GBC
82,pageBlock.csv,0.91,0.99,0.99,GBC
83,parkinsons.csv,0.9,0.96,0.96,GBC
84,penReco.csv,0.82,0.99,0.99,GBC
85,phone.csv,0.76,0.79,0.79,GBC
86,planningRelax.csv,0.68,0.77,0.77,GBC
87,pop_failure.csv,0.86,0.95,0.95,GBC
88,postOpertaivePatient.csv,0.75,0.87,0.87,GBC
89,Qualitative_Bankruptcy.csv,0.98,1.0,1.0,GBC
90,Raisin_Dataset.csv,0.86,0.86,0.86,RF
91,risk_factors_cervical_cancer.csv,0.92,0.98,0.98,GBC
92,seeds.csv,0.86,0.9,0.9,GBC
93,shuttle.csv,0.93,1.0,1.0,GBC
94,sobar-72.csv,0.84,0.86,0.86,GBC
95,somervilehappy.csv,0.5,0.47,0.5,RF
96,soyabean-large.csv,0.92,0.97,0.97,GBC
97,Spam.csv,0.9,0.93,0.93,GBC
98,spec-heart.csv,0.78,0.74,0.78,RF
99,sponge.csv,1.0,0.99,1.0,RF
100,statlog-austr.csv,0.86,0.86,0.86,RF
101,statlog-german.csv,0.69,0.79,0.79,GBC
102,statlog-heart.csv,0.83,0.81,0.83,RF
103,statlog-heart2.csv,0.83,0.8,0.83,RF
104,statloglandsat.csv,0.77,0.92,0.92,GBC
105,studenperf.csv,0.57,0.87,0.87,GBC
106,student-dropout.csv,0.68,0.77,0.77,GBC
107,teachingassper.csv,0.54,0.62,0.62,GBC
108,thyroid.csv,0.97,0.98,0.98,GBC
109,Thyroid_Diff.csv,0.88,0.76,0.88,RF
110,tic-toe.csv,0.65,0.67,0.67,GBC
111,transfusion.csv,0.63,0.66,0.66,GBC
112,turkiye-student-evaluation_R_Specific.csv,0.45,0.54,0.54,GBC
113,vehicles.csv,0.7,0.77,0.77,GBC
114,waveform.csv,0.82,0.85,0.85,GBC
115,waveformDG.csv,0.82,0.85,0.85,GBC
116,Wholesale customers data.csv,0.58,0.85,0.85,GBC
117,wine.csv,0.93,0.83,0.93,RF
118,wirelessloca.csv,0.95,0.96,0.96,GBC
119,yeast.csv,0.61,0.87,0.87,GBC
120,zoo.csv,0.98,1.0,1.0,GBC
